year,month,day
1993,12,13
1994,1,11
1994,2,10
1994,3,12
1994,4,11
1994,5,10
1994,6,9
1994,7,8
1994,8,7
1994,9,5
1994,10,5
1994,11,3
1994,12,2
1995,1,1
1995,1,30
1995,3,1
1995,3,31
1995,4,29
1995,5,29
1995,6,28
1995,7,27
1995,8,26
1995,9,24
1995,10,24
1995,11,22
1995,12,22
1996,1,20
1996,2,18
1996,3,19
1996,4,17
1996,5,17
1996,6,16
1996,7,15
1996,8,14
1996,9,12
1996,10,12
1996,11,11
1996,12,10
1997,1,9
1997,2,7
1997,3,9
1997,4,7
1997,5,6
1997,6,5
1997,7,4
1997,8,3
1997,9,1
1997,10,1
1997,10,31
1997,11,30
1997,12,29
1998,1,28
1998,2,26
1998,3,28
1998,4,26
1998,5,25
1998,6,24
1998,7,23
1998,8,22
1998,9,20
1998,10,20
1998,11,19
1998,12,18
1999,1,17
1999,2,16
1999,3,17
1999,4,16
1999,5,15
1999,6,13
1999,7,13
1999,8,11
1999,9,9
1999,10,9
1999,11,8
1999,12,7
2000,1,6
2000,2,5
2000,3,6
2000,4,4
2000,5,4
2000,6,2
2000,7,1
2000,7,31
2000,8,29
2000,9,27
2000,10,27
2000,11,25
2000,12,25
2001,1,24
2001,2,23
2001,3,25
2001,4,23
2001,5,23
2001,6,21
2001,7,20
2001,8,19
2001,9,17
2001,10,16
2001,11,15
2001,12,14
2002,1,13
2002,2,12
2002,3,14
2002,4,12
2002,5,12
2002,6,10
2002,7,10
2002,8,8
2002,9,7
2002,10,6
2002,11,4
2002,12,4
2003,1,2
2003,2,1
2003,3,3
2003,4,1
2003,5,1
2003,5,31
2003,6,29
2003,7,29
2003,8,27
2003,9,26
2003,10,25
2003,11,23
2003,12,23
2004,1,21
2004,2,20
2004,3,20
2004,4,19
2004,5,19
2004,6,17
2004,7,17
2004,8,16
2004,9,14
2004,10,14
2004,11,12
2004,12,12
2005,1,10
2005,2,8
2005,3,10
2005,4,8
2005,5,8
2005,6,6
2005,7,6
2005,8,5
2005,9,3
2005,10,3
2005,11,2
2005,12,1
2005,12,31
2006,1,29
2006,2,28
2006,3,29
2006,4,27
2006,5,27
2006,6,25
2006,7,25
2006,8,23
2006,9,22
2006,10,22
2006,11,20
2006,12,20
2007,1,19
2007,2,17
2007,3,19
2007,4,17
2007,5,16
2007,6,15
2007,7,14
2007,8,12
2007,9,11
2007,10,11
2007,11,9
2007,12,9
2008,1,8
2008,2,7
2008,3,7
2008,4,6
2008,5,5
2008,6,3
2008,7,3
2008,8,1
2008,8,30
2008,9,29
2008,10,28
2008,11,27
2008,12,27
2009,1,26
2009,2,25
2009,3,26
2009,4,25
2009,5,24
2009,6,22
2009,7,22
2009,8,20
2009,9,18
2009,10,18
2009,11,16
2009,12,16
2010,1,15
2010,2,14
2010,3,15
2010,4,14
2010,5,14
2010,6,12
2010,7,11
2010,8,10
2010,9,8
2010,10,7
2010,11,6
2010,12,5
2011,1,4
2011,2,3
2011,3,4
2011,4,3
2011,5,3
2011,6,1
2011,7,1
2011,7,30
2011,8,29
2011,9,27
2011,10,26
2011,11,25
2011,12,24
2012,1,23
2012,2,21
2012,3,22
2012,4,21
2012,5,20
2012,6,19
2012,7,19
2012,8,17
2012,9,16
2012,10,15
2012,11,13
2012,12,13
2013,1,11
2013,2,10
2013,3,11
2013,4,10
2013,5,10
2013,6,8
2013,7,8
2013,8,6
2013,9,5
2013,10,5
2013,11,3
2013,12,3
2014,1,1
2014,1,30
2014,3,1
2014,3,30
2014,4,29
2014,5,28
2014,6,27
2014,7,26
2014,8,25
2014,9,24
2014,10,23
2014,11,22
2014,12,22
2015,1,20
2015,2,18
2015,3,20
2015,4,18
2015,5,18
2015,6,16
2015,7,16
2015,8,14
2015,9,13
2015,10,13
2015,11,11
2015,12,11
2016,1,10
2016,2,8
2016,3,9
2016,4,7
2016,5,6
2016,6,5
2016,7,4
2016,8,2
2016,9,1
2016,10,1
2016,10,30
2016,11,29
2016,12,29
2017,1,28
2017,2,26
2017,3,28
2017,4,26
2017,5,25
2017,6,24
2017,7,23
2017,8,21
2017,9,20
2017,10,19
2017,11,18
2017,12,18
2018,1,17
2018,2,15
2018,3,17
2018,4,16
2018,5,15
2018,6,13
2018,7,13
2018,8,11
2018,9,9
2018,10,9
2018,11,7
2018,12,7
2019,1,6
2019,2,4
2019,3,6
2019,4,5
2019,5,4
2019,6,3
2019,7,2
2019,8,1
2019,8,30
2019,9,28
2019,10,28
2019,11,26
2019,12,26
2020,1,24
2020,2,23
2020,3,24
2020,4,23
2020,5,22
2020,6,21
2020,7,20
2020,8,19
2020,9,17
2020,10,16
2020,11,15
2020,12,14
2021,1,13
2021,2,11
2021,3,13
2021,4,12
2021,5,11
2021,6,10
2021,7,10
2021,8,8
2021,9,7
2021,10,6
2021,11,4
2021,12,4
2022,1,2
2022,2,1
2022,3,2
2022,4,1
2022,4,30
2022,5,30
2022,6,29
2022,7,28
2022,8,27
2022,9,25
2022,10,25
2022,11,23
2022,12,23
2023,1,21
2023,2,20
2023,3,21
2023,4,20
2023,5,19
2023,6,18
2023,7,17
2023,8,16
2023,9,15
2023,10,14
2023,11,13
2023,12,12
